Restaurant: Ravintola Sipuli, address: Kanavaranta 7, 00160 Helsinki
Restaurant: Ravintola Siilinpesä, address: Siilitie 1, HELSINKI
Restaurant: Mutteri, address: Lauttasaarentie 2, 00200 Helsinki
Restaurant: Manala, address: Dagmarinkatu 2, 00100 Helsinki
Restaurant: Hima & Sali, address: Tallberginkatu 1 C, 00180 Helsinki
Restaurant: Iguana Kaisaniemenkatu, address: Kaisaniemenkatu 3, 00100 Helsinki
Restaurant: Platinum Hartwall areena, address: Areenakuja 1, 00240 Helsinki
Restaurant: Café Veganissimo, address: Kulmavuorenkatu 2, 00500 Helsinki
Restaurant: Funky Kitchen Linnanmäki, address: Tivolikuja 1, HELSINKI
Restaurant: Salaattibaari Freesi, address: Fenniapasaasi, 00100 Helsinki
Restaurant: Spårakoff, address: Hietaniemenkatu 14, HELSINKI
Restaurant: Ravintola Lämpö, address: Kaasutehtaankatu 1, 00540 Helsinki
Restaurant: Unicafe Kookos, address: Haapaniemenkatu 6, 00530 Helsinki
Restaurant: Club Liberté, address: Kolmas linja 34, HELSINKI
Restaurant: Cafe Aalto, address: Keskuskatu 1, 00101 Helsinki
Restaurant: Ravintola Domino, address: Ajurinaukio 5, HELSINKI
Restaurant: Soppakeittiö Tapaste, address: Hakaniemen torikatu 4, 00500 Helsinki
Restaurant: Nätti, address: Hakaniemen kauppahalli 14-20, 00530 Helsinki
Restaurant: Quick Wok, address: Aleksis Kiven katu 12, 00500 Helsinki
Restaurant: Coffee House Kylä-ravintolat Kaari, address: Kantelettarentie 1, HELSINKI
Restaurant: Pizzeria Mozzarella, address: Puustellinpolku 25, 00410 Helsinki
Restaurant: Latva, address: Korkeavuorenkatu 25, 00130 Helsinki
Restaurant: Kahvila Kapusiini, address: Intiankatu 23, 00560 Helsinki
Restaurant: La Morena, address: Niemenmäentie 2 m 5, 00350 Helsinki
Restaurant: Pizza Express Haaga, address: Laajasuontie 8, 00320 Helsinki
Restaurant: Kahvila-Ravintola Laivalaituri, address: Hietasaarenkuja 8, 00180 Helsinki
Restaurant: Chico's Kallio, address: Porthaninkatu 4, 00530 Helsinki
Restaurant: Taormina Pizza Kebab, address: Ostostie 4, 00940 Helsinki
Restaurant: Mann's Street, address: Mannerheimintie 12 A, HELSINKI
Restaurant: Ravintola Kaivohuone, address: Iso Puistotie 1, HELSINKI
Restaurant: Sevilla Presidentti, address: Eteläinen Rautatiekatu 4, 00100 Helsinki
Restaurant: Cantina West, address: Kasarmikatu 23, HELSINKI
Restaurant: Sump House, address: Kivikonkaari 12, HELSINKI
Restaurant: Aapelin Baari, address: Ostostie 4, HELSINKI
Restaurant: Ravintola Santa Fé, address: Aleksanterinkatu 15, HELSINKI
Restaurant: Casino Helsinki / Casino Piazza, address: Mikonkatu 19, 00100 Helsinki
Restaurant: Ravintola Walhalla, address: Suomenlinna A 10, HELSINKI
Restaurant: Pub Heinähattu, address: Vaasankatu 23, HELSINKI
Restaurant: McDonald's Asematunneli, address: Asema-aukio 1, 00100 Helsinki
Restaurant: Grill It!, address: Runeberginkatu 2, 00100 Helsinki
Restaurant: Mevlana Sofrasi, address: Kastelholmantie 2, 00900 Helsinki
Restaurant: Rolls Express Munkkivuori, address: Huopalahdentie 22, 00350 Helsinki
Restaurant: Musiikkitalon Ravintolat, address: Mannerheimintie 13a A, 00100 Helsinki
Restaurant: Ravintola Saslik, address: Neitsytpolku 12, 00140 Helsinki
Restaurant: The Tiger, address: Urho Kekkosen katu 1, HELSINKI
Restaurant: Paahtimo- ja suklaakauppa caffi, address: Mannerheimintie 22-24, 00100 Helsinki
Restaurant: Pikku-Vallila, address: Vallilantie 19 C, 00510 Helsinki
Restaurant: Kotipizza Ruoholahti, address: Itämerenkatu 2, 00180 Helsinki
Restaurant: Pizza Speed, address: Humikkalanrinne 1, 00940 Helsinki
Restaurant: Harry's, address: Kankiraudantie 2A, 00700 Helsinki
Restaurant: Sodexo Porkkalankatu 20, address: Porkkalankatu 20A, 00180 Helsinki
Restaurant: East Asia Restaurant, address: Abraham Wetterin tie 6, 00810 Helsinki
